Table 11: Ablation Results,,,,,,,,,,
,Modelvariants,Sensitivity,G-mean,Class-bal. acc.,Confusion entropy,,,,,
Table 10: Binary dataset (Stud4),,,,,,,,,,
,Metric,Baseline,SMOTE,CTGAN,NB-Tomek,MDO,MC-MBRC,NaNDS,A-SUWO,CLEAR-GAN
RF,Mean sensitivity,0.8,0.853,0.855,0.882,0.962,0.962,0.957,0.962,0.873
,G-mean,0.781,0.855,0.859,0.864,0.954,0.953,0.954,0.943,0.864
,Classbal. acc.,0.802,0.858,0.856,0.87,1,0.962,0.957,1,0.864
,Confusion entropy,0.38,0.466,0.462,0.36,0.04,0.049,0.044,0.043,0.04
LSTM,Mean sensitivity,0.782,0.83,0.847,0.869,0.9,0.925,0.896,0.855,0.888
,G-mean,0.822,0.852,0.86,0.875,0.883,0.878,0.96,0.9,0.891
,Classbal. acc.,0.822,0.848,0.861,0.876,0.916,0.881,0.913,0.898,0.9
,Confusion entropy,0.412,0.473,0.468,0.38,0.126,0.13,0.129,0.232,0.122
